"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B28003_001E","Estimate!!Total:"
"B28003_001EA","Annotation of Estimate!!Total:"
"B28003_001M","Margin of Error!!Total:"
"B28003_001MA","Annotation of Margin of Error!!Total:"
"B28003_002E","Estimate!!Total:!!Has a computer:"
"B28003_002EA","Annotation of Estimate!!Total:!!Has a computer:"
"B28003_002M","Margin of Error!!Total:!!Has a computer:"
"B28003_002MA","Annotation of Margin of Error!!Total:!!Has a computer:"
"B28003_003E","Estimate!!Total:!!Has a computer:!!With dial-up Internet subscription alone"
"B28003_003EA","Annotation of Estimate!!Total:!!Has a computer:!!With dial-up Internet subscription alone"
"B28003_003M","Margin of Error!!Total:!!Has a computer:!!With dial-up Internet subscription alone"
"B28003_003MA","Annotation of Margin of Error!!Total:!!Has a computer:!!With dial-up Internet subscription alone"
"B28003_004E","Estimate!!Total:!!Has a computer:!!With a broadband Internet subscription"
"B28003_004EA","Annotation of Estimate!!Total:!!Has a computer:!!With a broadband Internet subscription"
"B28003_004M","Margin of Error!!Total:!!Has a computer:!!With a broadband Internet subscription"
"B28003_004MA","Annotation of Margin of Error!!Total:!!Has a computer:!!With a broadband Internet subscription"
"B28003_005E","Estimate!!Total:!!Has a computer:!!Without an Internet subscription"
"B28003_005EA","Annotation of Estimate!!Total:!!Has a computer:!!Without an Internet subscription"
"B28003_005M","Margin of Error!!Total:!!Has a computer:!!Without an Internet subscription"
"B28003_005MA","Annotation of Margin of Error!!Total:!!Has a computer:!!Without an Internet subscription"
"B28003_006E","Estimate!!Total:!!No computer"
"B28003_006EA","Annotation of Estimate!!Total:!!No computer"
"B28003_006M","Margin of Error!!Total:!!No computer"
"B28003_006MA","Annotation of Margin of Error!!Total:!!No computer"
