"GEO_ID","NAME","B28003_001E","B28003_001EA","B28003_001M","B28003_001MA","B28003_002E","B28003_002EA","B28003_002M","B28003_002MA","B28003_003E","B28003_003EA","B28003_003M","B28003_003MA","B28003_004E","B28003_004EA","B28003_004M","B28003_004MA","B28003_005E","B28003_005EA","B28003_005M","B28003_005MA","B28003_006E","B28003_006EA","B28003_006M","B28003_006MA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!Has a computer:","Annotation of Estimate!!Total:!!Has a computer:","Margin of Error!!Total:!!Has a computer:","Annotation of Margin of Error!!Total:!!Has a computer:","Estimate!!Total:!!Has a computer:!!With dial-up Internet subscription alone","Annotation of Estimate!!Total:!!Has a computer:!!With dial-up Internet subscription alone","Margin of Error!!Total:!!Has a computer:!!With dial-up Internet subscription alone","Annotation of Margin of Error!!Total:!!Has a computer:!!With dial-up Internet subscription alone","Estimate!!Total:!!Has a computer:!!With a broadband Internet subscription","Annotation of Estimate!!Total:!!Has a computer:!!With a broadband Internet subscription","Margin of Error!!Total:!!Has a computer:!!With a broadband Internet subscription","Annotation of Margin of Error!!Total:!!Has a computer:!!With a broadband Internet subscription","Estimate!!Total:!!Has a computer:!!Without an Internet subscription","Annotation of Estimate!!Total:!!Has a computer:!!Without an Internet subscription","Margin of Error!!Total:!!Has a computer:!!Without an Internet subscription","Annotation of Margin of Error!!Total:!!Has a computer:!!Without an Internet subscription","Estimate!!Total:!!No computer","Annotation of Estimate!!Total:!!No computer","Margin of Error!!Total:!!No computer","Annotation of Margin of Error!!Total:!!No computer",
"0500000US01001","Autauga County, Alabama","21397","null","325","null","19096","null","425","null","23","null","20","null","17131","null","470","null","1942","null","310","null","2301","null","310","null",
"0500000US01003","Baldwin County, Alabama","80930","null","1127","null","73588","null","1260","null","348","null","139","null","65900","null","1270","null","7340","null","749","null","7342","null","825","null",
"0500000US01005","Barbour County, Alabama","9345","null","313","null","7213","null","295","null","53","null","31","null","5593","null","295","null","1567","null","247","null","2132","null","233","null",
"0500000US01007","Bibb County, Alabama","6891","null","333","null","5382","null","324","null","49","null","48","null","4698","null","340","null","635","null","190","null","1509","null","260","null",
"0500000US01009","Blount County, Alabama","20847","null","394","null","16877","null","527","null","111","null","68","null","15009","null","615","null","1757","null","307","null","3970","null","428","null",
"0500000US01011","Bullock County, Alabama","3521","null","255","null","2720","null","300","null","9","null","15","null","2104","null","269","null","607","null","223","null","801","null","205","null",
"0500000US01013","Butler County, Alabama","6506","null","290","null","4771","null","303","null","70","null","56","null","4082","null","292","null","619","null","128","null","1735","null","237","null",
"0500000US01015","Calhoun County, Alabama","44605","null","644","null","38232","null","778","null","107","null","79","null","33183","null","875","null","4942","null","494","null","6373","null","502","null",
"0500000US01017","Chambers County, Alabama","13448","null","405","null","10682","null","476","null","50","null","44","null","9201","null","427","null","1431","null","239","null","2766","null","315","null",
"0500000US01019","Cherokee County, Alabama","10737","null","445","null","8744","null","419","null","53","null","37","null","7561","null","432","null","1130","null","228","null","1993","null","309","null",
"0500000US01021","Chilton County, Alabama","16927","null","473","null","13553","null","562","null","75","null","64","null","11506","null","493","null","1972","null","372","null","3374","null","387","null",
"0500000US01023","Choctaw County, Alabama","5300","null","267","null","4042","null","242","null","48","null","42","null","3230","null","259","null","764","null","187","null","1258","null","171","null",
"0500000US01025","Clarke County, Alabama","9090","null","350","null","6388","null","358","null","48","null","36","null","5128","null","378","null","1212","null","209","null","2702","null","318","null",
"0500000US01027","Clay County, Alabama","5198","null","240","null","4221","null","262","null","16","null","23","null","3608","null","283","null","597","null","169","null","977","null","176","null",
"0500000US01029","Cleburne County, Alabama","5680","null","199","null","4624","null","214","null","45","null","31","null","3626","null","218","null","953","null","174","null","1056","null","165","null",
"0500000US01031","Coffee County, Alabama","19924","null","343","null","17459","null","385","null","183","null","66","null","15770","null","411","null","1506","null","224","null","2465","null","272","null",
"0500000US01033","Colbert County, Alabama","21880","null","440","null","17773","null","509","null","121","null","54","null","15198","null","546","null","2454","null","322","null","4107","null","362","null",
"0500000US01035","Conecuh County, Alabama","4553","null","274","null","2798","null","292","null","2","null","3","null","2369","null","300","null","427","null","148","null","1755","null","245","null",
"0500000US01037","Coosa County, Alabama","4032","null","248","null","3255","null","256","null","10","null","15","null","2776","null","241","null","469","null","126","null","777","null","172","null",
"0500000US01039","Covington County, Alabama","14852","null","376","null","11679","null","340","null","119","null","53","null","10396","null","383","null","1164","null","170","null","3173","null","313","null",
"0500000US01041","Crenshaw County, Alabama","4943","null","207","null","3795","null","224","null","26","null","20","null","3195","null","199","null","574","null","118","null","1148","null","162","null",
"0500000US01043","Cullman County, Alabama","31034","null","570","null","25762","null","661","null","161","null","59","null","22739","null","631","null","2862","null","397","null","5272","null","378","null",
"0500000US01045","Dale County, Alabama","18806","null","470","null","16315","null","519","null","99","null","55","null","14203","null","517","null","2013","null","289","null","2491","null","293","null",
"0500000US01047","Dallas County, Alabama","15910","null","419","null","11999","null","502","null","115","null","72","null","10829","null","524","null","1055","null","197","null","3911","null","389","null",
