"GEO_ID","NAME","B28003_001E","B28003_001EA","B28003_001M","B28003_001MA","B28003_002E","B28003_002EA","B28003_002M","B28003_002MA","B28003_003E","B28003_003EA","B28003_003M","B28003_003MA","B28003_004E","B28003_004EA","B28003_004M","B28003_004MA","B28003_005E","B28003_005EA","B28003_005M","B28003_005MA","B28003_006E","B28003_006M","B28003_006MA","B28003_006EA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!Has a computer:","Annotation of Estimate!!Total:!!Has a computer:","Margin of Error!!Total:!!Has a computer:","Annotation of Margin of Error!!Total:!!Has a computer:","Estimate!!Total:!!Has a computer:!!With dial-up Internet subscription alone","Annotation of Estimate!!Total:!!Has a computer:!!With dial-up Internet subscription alone","Margin of Error!!Total:!!Has a computer:!!With dial-up Internet subscription alone","Annotation of Margin of Error!!Total:!!Has a computer:!!With dial-up Internet subscription alone","Estimate!!Total:!!Has a computer:!!With a broadband Internet subscription","Annotation of Estimate!!Total:!!Has a computer:!!With a broadband Internet subscription","Margin of Error!!Total:!!Has a computer:!!With a broadband Internet subscription","Annotation of Margin of Error!!Total:!!Has a computer:!!With a broadband Internet subscription","Estimate!!Total:!!Has a computer:!!Without an Internet subscription","Annotation of Estimate!!Total:!!Has a computer:!!Without an Internet subscription","Margin of Error!!Total:!!Has a computer:!!Without an Internet subscription","Annotation of Margin of Error!!Total:!!Has a computer:!!Without an Internet subscription","Estimate!!Total:!!No computer","Margin of Error!!Total:!!No computer","Annotation of Margin of Error!!Total:!!No computer","Annotation of Estimate!!Total:!!No computer",
"0500000US01001","Autauga County, Alabama","21856","null","424","null","20149","null","474","null","21","null","27","null","18547","null","488","null","1581","null","319","null","1707","271","null","null",
"0500000US01003","Baldwin County, Alabama","87190","null","1307","null","81670","null","1419","null","317","null","128","null","76104","null","1486","null","5249","null","650","null","5520","668","null","null",
"0500000US01005","Barbour County, Alabama","9088","null","301","null","7495","null","278","null","9","null","10","null","5815","null","314","null","1671","null","280","null","1593","220","null","null",
"0500000US01007","Bibb County, Alabama","7083","null","289","null","5968","null","355","null","6","null","27","null","5211","null","359","null","751","null","227","null","1115","227","null","null",
"0500000US01009","Blount County, Alabama","21300","null","411","null","18575","null","523","null","95","null","66","null","17026","null","539","null","1454","null","241","null","2725","374","null","null",
"0500000US01011","Bullock County, Alabama","3419","null","222","null","2764","null","280","null","18","null","33","null","2007","null","328","null","739","null","192","null","655","185","null","null",
"0500000US01013","Butler County, Alabama","6531","null","290","null","5487","null","299","null","0","null","20","null","4875","null","313","null","612","null","152","null","1044","147","null","null",
"0500000US01015","Calhoun County, Alabama","44295","null","619","null","39986","null","791","null","75","null","55","null","35816","null","899","null","4095","null","595","null","4309","540","null","null",
"0500000US01017","Chambers County, Alabama","13123","null","445","null","11535","null","455","null","13","null","20","null","9984","null","489","null","1538","null","323","null","1588","300","null","null",
"0500000US01019","Cherokee County, Alabama","9692","null","442","null","8177","null","427","null","37","null","37","null","7354","null","458","null","786","null","212","null","1515","248","null","null",
"0500000US01021","Chilton County, Alabama","16562","null","453","null","14494","null","495","null","56","null","49","null","12802","null","571","null","1636","null","358","null","2068","323","null","null",
"0500000US01023","Choctaw County, Alabama","5211","null","218","null","4142","null","251","null","30","null","33","null","3263","null","258","null","849","null","185","null","1069","183","null","null",
"0500000US01025","Clarke County, Alabama","8250","null","333","null","6692","null","313","null","40","null","33","null","5505","null","356","null","1147","null","204","null","1558","294","null","null",
"0500000US01027","Clay County, Alabama","5399","null","251","null","4394","null","266","null","7","null","9","null","3887","null","263","null","500","null","129","null","1005","202","null","null",
"0500000US01029","Cleburne County, Alabama","5598","null","193","null","4840","null","251","null","14","null","16","null","4050","null","284","null","776","null","174","null","758","182","null","null",
"0500000US01031","Coffee County, Alabama","20478","null","414","null","18616","null","431","null","83","null","45","null","17071","null","462","null","1462","null","190","null","1862","245","null","null",
"0500000US01033","Colbert County, Alabama","22640","null","528","null","19015","null","697","null","67","null","48","null","16647","null","588","null","2301","null","349","null","3625","478","null","null",
"0500000US01035","Conecuh County, Alabama","4187","null","265","null","2994","null","254","null","5","null","10","null","2557","null","272","null","432","null","172","null","1193","235","null","null",
"0500000US01037","Coosa County, Alabama","3824","null","206","null","3336","null","223","null","19","null","21","null","2829","null","225","null","488","null","123","null","488","136","null","null",
"0500000US01039","Covington County, Alabama","14296","null","347","null","11811","null","433","null","81","null","40","null","10610","null","424","null","1120","null","185","null","2485","292","null","null",
"0500000US01041","Crenshaw County, Alabama","4653","null","162","null","3730","null","199","null","18","null","17","null","2955","null","188","null","757","null","146","null","923","140","null","null",
"0500000US01043","Cullman County, Alabama","32939","null","529","null","29145","null","688","null","55","null","37","null","26566","null","698","null","2524","null","408","null","3794","477","null","null",
"0500000US01045","Dale County, Alabama","19470","null","374","null","17690","null","423","null","42","null","32","null","15854","null","514","null","1794","null","307","null","1780","297","null","null",
"0500000US01047","Dallas County, Alabama","14385","null","422","null","11235","null","486","null","46","null","49","null","10164","null","483","null","1025","null","212","null","3150","388","null","null",
"0500000US01049","DeKalb County, Alabama","25601","null","548","null","22240","null","619","null","32","null","30","null","20183","null","666","null","2025","null","282","null","3361","390","null","null",
"0500000US01051","Elmore County, Alabama","31630","null","647","null","28903","null","676","null","74","null","63","null","26564","null","714","null","2265","null","391","null","2727","382","null","null",
"0500000US01053","Escambia County, Alabama","12878","null","566","null","10078","null","546","null","42","null","42","null","8552","null","508","null","1484","null","300","null","2800","334","null","null",
"0500000US01055","Etowah County, Alabama","38289","null","702","null","33971","null","802","null","25","null","34","null","31111","null","791","null","2835","null","305","null","4318","445","null","null",
"0500000US01057","Fayette County, Alabama","6204","null","256","null","5071","null","275","null","10","null","15","null","4396","null","269","null","665","null","179","null","1133","165","null","null",
"0500000US01059","Franklin County, Alabama","10955","null","379","null","8205","null","479","null","0","null","27","null","6585","null","458","null","1620","null","354","null","2750","365","null","null",
"0500000US01061","Geneva County, Alabama","10303","null","322","null","8771","null","301","null","82","null","54","null","7285","null","377","null","1404","null","321","null","1532","266","null","null",
"0500000US01063","Greene County, Alabama","2849","null","191","null","2043","null","282","null","0","null","18","null","1552","null","298","null","491","null","229","null","806","242","null","null",
"0500000US01065","Hale County, Alabama","5133","null","251","null","3943","null","280","null","0","null","20","null","3403","null","262","null","540","null","142","null","1190","205","null","null",
"0500000US01067","Henry County, Alabama","6404","null","277","null","5580","null","298","null","11","null","18","null","5035","null","293","null","534","null","147","null","824","177","null","null",
"0500000US01069","Houston County, Alabama","41095","null","345","null","36239","null","460","null","143","null","53","null","32745","null","487","null","3351","null","340","null","4856","288","null","null",
"0500000US01071","Jackson County, Alabama","20276","null","511","null","17337","null","541","null","55","null","42","null","15667","null","567","null","1615","null","273","null","2939","377","null","null",
"0500000US01073","Jefferson County, Alabama","264105","null","1463","null","241233","null","2019","null","305","null","132","null","222332","null","2008","null","18596","null","1061","null","22872","1297","null","null",
"0500000US01075","Lamar County, Alabama","5351","null","272","null","4222","null","262","null","21","null","24","null","3482","null","272","null","719","null","223","null","1129","198","null","null",
"0500000US01077","Lauderdale County, Alabama","37928","null","514","null","33303","null","729","null","87","null","55","null","29281","null","904","null","3935","null","503","null","4625","465","null","null",
"0500000US01079","Lawrence County, Alabama","12469","null","325","null","9907","null","466","null","72","null","46","null","8468","null","499","null","1367","null","234","null","2562","344","null","null",
"0500000US01081","Lee County, Alabama","63122","null","839","null","59180","null","1045","null","74","null","76","null","53797","null","1184","null","5309","null","775","null","3942","535","null","null",
"0500000US01083","Limestone County, Alabama","37987","null","502","null","34846","null","524","null","67","null","48","null","32589","null","612","null","2190","null","437","null","3141","390","null","null",
"0500000US01085","Lowndes County, Alabama","3878","null","154","null","2951","null","183","null","2","null","3","null","2137","null","205","null","812","null","150","null","927","139","null","null",
"0500000US01087","Macon County, Alabama","7136","null","331","null","5841","null","348","null","23","null","25","null","4853","null","303","null","965","null","165","null","1295","177","null","null",
